Libellé produit,Nature,tfidf_logreg_cleanlab_pred,tfidf_logreg_cleanlab_conf,ensemble_pred,ensemble_conf
Esthetique décorations edition bucarest 6 housses de chaise dos droit extensibles blanches,Housse de rangement,Objet deco,0.0905184812189289,Chaise,0.1565763100384703
Pack complet premium lit peppa pig famille avec tiroirs et 6 cubes lit+matelas parure+couette+oreiller,Meuble à chaussures,Ensemble chambre,0.1834558467200651,Ensemble chambre,0.1641714463140052
Commode tilda meuble de rangement chiffonnier avec 3 tiroirs en bois de paulownia brun style vintage ethnique exotique avec grav,Buffet,Commode,0.511926013370415,Commode,0.5865475351134648
Punching ball de table,Jeu d'imitation,Accessoire fitness,0.0506607860915131,Accessoire fitness,0.085660988025669
Songmics chaise de plage pliante avec dossier haut pliable légère confortable charge importante chaise d extérieur bleu ,Bain de soleil,Chaise de bureau,0.202664136635384,Chaise,0.3306839214907006
Table industrielle carrée,Table basse,Table,0.2647914509383948,Table,0.4081464407403854
Giantex 48l rouleau à gazon de jardin avec poignée en acier haute résistance rempli d eau et de sable du rouleau 32 cm i,Outils de Jardin,Bureau,0.1041204834653808,Rideau,0.1201557557653395
Blumfeldt fontaine décorative de jardin 3w solaire led polyrésine imitation gr,Fontaine,Objet deco,0.1800844374083245,Fontaine,0.2447817403356348
Housse à matelas 90 x 190 cm rénove matelas,Drap plat,Matelas,0.3590656686120727,Matelas,0.1901060521920755
Lot de 2 draps housse pour matelas bébé dulce rose 70x140 cm,Drap plat,Matelas,0.2927225453616167,Drap housse,0.127210700545971
My lovely bed surmatelas mémoire de forme 180x200 cm epaisseur 5cm déhoussable,Meuble à chaussures,Surmatelas,0.3816417936028579,Matelas,0.2420037873220162
Rack à chaussures en bois 2 étages,Penderie,Meuble à chaussures,0.4184162763840364,Meuble à chaussures,0.4999125022047229
Babyplane bleu,Couvert,Babyfoot,0.0341831517784559,Lit bébé,0.0554892116400254
Fauteuil design à coque alison blanc,Ens table chaises,Fauteuil,0.3575190331256199,Fauteuil,0.2031539207482864
Mcl tapis souris uni gris,Access. PC Tablette,Tapis de Salon et Ch,0.2323215632455296,Tapis de Salon et Ch,0.1775683629609403
List etagère 3 plateaux,Bibliotheque,Etagère,0.4019133660918942,Etagère,0.3059799536842955
Tableau colourful immersion 150x50,Image/affiche/poster,Toile et laminage,0.1761659633265512,Image/affiche/poster,0.1616737418929107
Matelas best sleep 160x200 cm mousse viscoélastique gel 25cm,Meuble à chaussures,Matelas,0.5287362782566302,Matelas,0.7068741759503225
